ram_uso,cpu_percent,cpu_freq,cpu_ociosidade_dias,ram_percent,ram_livre,rede_recv,rede_sent,dataHora,maquinaId
13397880832,4.8,1700.0,165,79.5,3450728448,30167,35701,2025-04-25 16:51:43,4
13394280448,6.4,1700.0,165,79.5,3454246912,30209,35719,2025-04-25 16:51:45,4
13396385792,9.0,1700.0,165,79.5,3452796928,30233,35730,2025-04-25 16:51:46,4
13395611648,11.2,1700.0,165,79.5,3452334080,30261,35741,2025-04-25 16:51:47,4
13390143488,7.6,1700.0,165,79.5,3457101824,30298,35758,2025-04-25 16:51:48,4
13397200896,8.5,1700.0,165,79.5,3453296640,30335,35777,2025-04-25 16:51:49,4
13397991424,11.6,1700.0,165,79.5,3450556416,30371,35796,2025-04-25 16:51:50,4
13400203264,13.1,1700.0,165,79.5,3447681024,30391,35807,2025-04-25 16:51:52,4
13403533312,8.3,1700.0,165,79.6,3445256192,30419,35817,2025-04-25 16:51:53,4
13398691840,5.5,1700.0,165,79.5,3450015744,30458,35835,2025-04-25 16:51:54,4
13400682496,5.6,1700.0,165,79.5,3444330496,30496,35854,2025-04-25 16:51:55,4
13403475968,13.3,1700.0,165,79.5,3447267328,30543,35873,2025-04-25 16:51:56,4
13412638720,13.4,1700.0,165,79.6,3434479616,30624,35903,2025-04-25 16:51:57,4
