cpu_percent,cpu_freq,rede_sent,ram_uso,cpu_ociosidade_dias,ram_percent,rede_recv,ram_livre,dataHora,maquinaId
67.0,2501.0,336708,7932620800,8,94.1,703649,497106944,2025-04-25 14:17:33,4
72.1,2501.0,336723,7931023360,8,94.2,703672,485535744,2025-04-25 14:17:34,4
74.8,2501.0,336748,7945224192,8,94.3,703709,477646848,2025-04-25 14:17:35,4
54.5,2501.0,336761,7953797120,8,94.5,703727,466878464,2025-04-25 14:17:37,4
59.7,2501.0,336778,7963017216,8,94.5,703757,459694080,2025-04-25 14:17:38,4
48.8,2501.0,336789,7962050560,8,94.5,703783,460627968,2025-04-25 14:17:39,4
47.8,2501.0,336803,7960051712,8,94.5,703809,462622720,2025-04-25 14:17:40,4
36.1,2501.0,336817,7965069312,8,94.6,703821,457572352,2025-04-25 14:17:41,4
44.7,2501.0,336832,7951548416,8,95.0,703858,413794304,2025-04-25 14:17:43,4
95.1,2501.0,336843,7986450432,8,94.8,703881,446951424,2025-04-25 14:17:44,4
71.1,2501.0,336864,7985315840,8,94.8,703914,442109952,2025-04-25 14:17:46,4
84.6,2501.0,336878,7983280128,8,94.8,703948,439422976,2025-04-25 14:17:47,4
88.6,2501.0,336923,7990243328,8,94.9,704080,434446336,2025-04-25 14:17:50,4
100.0,2501.0,336994,7987703808,8,94.8,704154,435073024,2025-04-25 14:17:52,4
90.3,2501.0,337003,7990390784,8,94.9,704168,434102272,2025-04-25 14:17:54,4
78.1,2501.0,337005,7983976448,8,94.8,704172,438693888,2025-04-25 14:17:55,4
62.9,2501.0,337014,7983075328,8,94.8,704197,441815040,2025-04-25 14:17:57,4
80.8,2501.0,337028,7971926016,8,94.7,704217,446808064,2025-04-25 14:17:59,4
80.6,2501.0,337036,7970938880,8,94.6,704239,451792896,2025-04-25 14:18:00,4
72.1,2501.0,337046,7986352128,8,94.9,704260,430571520,2025-04-25 14:18:02,4
78.3,2501.0,337065,8011649024,8,95.1,704302,411021312,2025-04-25 14:18:03,4
75.9,2501.0,337068,7931297792,8,94.2,704315,457256960,2025-04-25 14:18:05,4
87.4,2501.0,337086,7974420480,8,94.7,704353,446406656,2025-04-25 14:18:06,4
96.4,2501.0,337091,8011198464,8,95.2,704370,402845696,2025-04-25 14:18:08,4
100.0,2501.0,337102,8020217856,8,95.3,704388,390074368,2025-04-25 14:18:10,4
99.5,2501.0,337120,8031404032,8,95.4,704435,391307264,2025-04-25 14:18:12,4
89.3,2501.0,337124,8039825408,8,95.4,704442,383614976,2025-04-25 14:18:13,4
77.2,2501.0,337139,8024461312,8,95.3,704485,397586432,2025-04-25 14:18:15,4
73.3,2501.0,337148,8016883712,8,95.2,704507,405778432,2025-04-25 14:18:16,4
67.5,2501.0,337155,8025616384,8,95.3,704531,398278656,2025-04-25 14:18:18,4
76.8,2501.0,337210,8005464064,8,95.0,704624,416845824,2025-04-25 14:18:19,4
68.0,2501.0,337242,8025141248,8,95.3,704693,398262272,2025-04-25 14:18:21,4
75.1,2501.0,337284,8023445504,8,95.3,704769,409858048,2025-04-25 14:18:23,4
86.5,2501.0,337298,8015552512,8,95.2,704792,407044096,2025-04-25 14:18:24,4
66.1,2501.0,337310,8022573056,8,95.2,704821,402190336,2025-04-25 14:18:26,4
81.2,2501.0,337315,8004034560,8,95.0,704842,418668544,2025-04-25 14:18:27,4
62.5,2501.0,337324,8012873728,8,95.2,704869,407072768,2025-04-25 14:18:28,4
42.4,2501.0,337335,8002744320,8,95.0,704891,419917824,2025-04-25 14:18:30,4
36.0,2501.0,337374,8004849664,8,95.0,704949,417828864,2025-04-25 14:18:31,4
48.1,2501.0,337393,8011239424,8,95.1,704985,411160576,2025-04-25 14:18:32,4
42.8,2501.0,337398,8019329024,8,95.2,704997,403333120,2025-04-25 14:18:33,4
59.2,2501.0,337415,8024174592,8,95.3,705023,398491648,2025-04-25 14:18:34,4
50.3,2501.0,337428,8042958848,8,95.5,705056,380837888,2025-04-25 14:18:36,4
34.1,2501.0,337436,8040210432,8,95.4,705066,385048576,2025-04-25 14:18:37,4
39.8,2501.0,337458,8040972288,8,95.5,705113,382373888,2025-04-25 14:18:38,4
70.7,2501.0,337469,8062275584,8,95.7,705136,363134976,2025-04-25 14:18:39,4
73.1,2501.0,337479,8043229184,8,95.5,705162,371040256,2025-04-25 14:18:40,4
54.0,2501.0,337481,8045912064,8,95.6,705176,370327552,2025-04-25 14:18:41,4
61.1,2501.0,337493,8050741248,8,95.6,705197,371945472,2025-04-25 14:18:43,4
38.0,2501.0,337498,8049651712,8,95.6,705210,373035008,2025-04-25 14:18:44,4
44.1,2501.0,337515,8052944896,8,95.6,705251,376913920,2025-04-25 14:18:45,4
51.1,2501.0,337550,8051449856,8,95.6,705311,371429376,2025-04-25 14:18:46,4
33.4,2501.0,337565,8050655232,8,95.6,705351,372076544,2025-04-25 14:18:47,4
39.3,2501.0,337580,8052252672,8,95.6,705375,373133312,2025-04-25 14:18:48,4
