rede_sent,ram_percent,cpu_percent,ram_uso,rede_recv,cpu_ociosidade_dias,cpu_freq,ram_livre,dataHora,maquinaId
25839,80.6,37.5,6786711552,82105,0,2501.0,1636589568,2025-04-25 23:14:38,4
25841,80.6,33.8,6784507904,82108,0,2501.0,1638236160,2025-04-25 23:14:39,4
25841,80.4,61.2,6774472704,82108,0,2501.0,1648095232,2025-04-25 23:14:41,4
25841,80.4,33.6,6771748864,82113,0,2501.0,1647403008,2025-04-25 23:14:42,4
25842,80.4,53.7,6775042048,82114,0,2501.0,1648037888,2025-04-25 23:14:44,4
25842,80.5,63.9,6782164992,82114,0,2501.0,1640632320,2025-04-25 23:14:46,4
25845,80.5,40.9,6782226432,82118,0,2501.0,1640361984,2025-04-25 23:14:47,4
25846,80.5,25.4,6782709760,82119,0,2501.0,1644265472,2025-04-25 23:14:48,4
25846,80.5,29.9,6779334656,82122,0,2501.0,1643921408,2025-04-25 23:14:49,4
25846,80.5,64.9,6783078400,82128,0,2501.0,1641267200,2025-04-25 23:14:51,4
25847,80.5,57.0,6790860800,82134,0,2501.0,1632415744,2025-04-25 23:14:53,4
25847,80.5,37.0,6783594496,82135,0,2501.0,1638162432,2025-04-25 23:14:54,4
25870,80.6,20.6,6788714496,82159,0,2501.0,1634603008,2025-04-25 23:14:55,4
25871,80.5,42.1,6782803968,82162,0,2501.0,1639915520,2025-04-25 23:14:57,4
25871,80.4,20.0,6769901568,82163,0,2501.0,1654624256,2025-04-25 23:14:58,4
25871,80.5,28.4,6781227008,82165,0,2501.0,1643175936,2025-04-25 23:14:59,4
25872,80.5,39.1,6781321216,82167,0,2501.0,1641340928,2025-04-25 23:15:00,4
25875,80.4,24.0,6772809728,82171,0,2501.0,1649803264,2025-04-25 23:15:02,4
25881,80.5,31.7,6779416576,82183,0,2501.0,1641988096,2025-04-25 23:15:03,4
25888,80.5,38.5,6783934464,82193,0,2501.0,1639030784,2025-04-25 23:15:04,4
